"SERIES_ID","season","TEAM_A","TEAM_B","WINNER","TEAM_ID_A","TEAM_ID_B","WIN_PCT_DIFF","NET_RATING_DIFF","TS_DIFF","THREE_PT_DIFF","OFF_RATING_DIFF","DEF_RATING_DIFF","EFG_DIFF","OREB_DIFF","TOV_DIFF","PLUS_MINUS_DIFF","SOS_DIFF","SRS_DIFF","H2H_WIN_PCT_DIFF","H2H_TS_PCT_DIFF","H2H_EFG_PCT_DIFF","H2H_POINT_DIFF_DIFF"
"Oklahoma City Thunder vs Portland Trail Blazers","2018-19","Oklahoma City Thunder","Portland Trail Blazers",0,1610612760,1610612757,-0.048,-0.8,-0.0229999999999999,0.00808909810659497,-3.90000000000001,-3,-0.014,-0.01,-0.003,-0.9,-0.002256097560976,-0.90225609756099,1,0.0408800148332326,0.0502418741262165,14
"Orlando Magic vs Toronto Raptors","2018-19","Orlando Magic","Toronto Raptors",0,1610612753,1610612761,-0.195,-5.2,-0.0289999999999999,-0.018989825982362,-4.39999999999999,0.799999999999997,-0.025,-0.00600000000000001,-0.005,-5.19999999999999,0.00757317073170699,-5.19242682926829,0,0.023723845041896,0.0225544086643407,15
"Philadelphia 76ers vs Toronto Raptors","2018-19","Philadelphia 76ers","Toronto Raptors",0,1610612755,1610612761,-0.085,-3.2,-0.005,-0.037285814418345,-1,2.2,-0.011,0.013,0.00599999999999998,-3.20000000000001,0.00518292682926796,-3.19481707317074,-0.5,0.0287494186819026,0.0218535097106104,-7.5
"Boston Celtics vs Miami Heat","2019-20","Boston Celtics","Miami Heat",0,1610612738,1610612748,0.0640000000000001,3.6,-0.017,-0.033779526924688,0.899999999999991,-2.8,-0.016,0.026,-0.012,3.69999999999999,-0.001783295281583,3.6982167047184,0.333333333333333,0.0313486727901304,0.0312791098587342,14
"Boston Celtics vs Philadelphia 76ers","2019-20","Boston Celtics","Philadelphia 76ers",1,1610612738,1610612755,0.0780000000000001,4,0.004,0.02618720106448,2.09999999999999,-1.90000000000001,-0.003,0.00199999999999995,-0.00499999999999998,4,-0.00938603500761098,3.99061396499239,-0.5,-0.0221438144123945,-0.0149474693368166,-5
"Boston Celtics vs Toronto Raptors","2019-20","Boston Celtics","Toronto Raptors",1,1610612738,1610612761,-0.069,0.2,-0.004,-0.034927660105676,2,1.8,-0.005,0.027,-0.00899999999999998,0.20000000000001,-0.00112500000000004,0.198875,0.5,-0.0330220571909664,-0.0421917675914281,14
"Brooklyn Nets vs Toronto Raptors","2019-20","Brooklyn Nets","Toronto Raptors",0,1610612751,1610612761,-0.25,-6.6,-0.0199999999999999,0.00196291397438098,-2.09999999999999,4.5,-0.016,0.024,0.002,-6.59999999999999,-0.001652777777777,-6.60165277777777,-0.5,0.0184025760713584,0.00895918432087095,-9
"Dallas Mavericks vs LA Clippers","2019-20","Dallas Mavericks","LA Clippers",0,1610612742,1610612746,-0.108,-1.5,0.004,0.081931666440666,2.60000000000001,4.3,0.01,-0.003,-0.016,-1.69999999999999,-0.00650166666666696,-1.70650166666665,-1,-0.00718059840660223,-0.0140289189348602,-22
"Denver Nuggets vs LA Clippers","2019-20","Denver Nuggets","LA Clippers",1,1610612743,1610612746,-0.051,-4.1,-0.01,-0.030769286128956,-0.700000000000003,3.5,0,0.016,-0.00299999999999997,-4.2,-2.56849315070085e-05,-4.20002568493151,-0.333333333333333,-0.0510451669035189,-0.0476884269258405,-21.3333333333333
"Denver Nuggets vs Los Angeles Lakers","2019-20","Denver Nuggets","Los Angeles Lakers",0,1610612743,1610612747,-0.102,-3.4,-0.00600000000000001,-0.013304806163615,0.899999999999991,4.30000000000001,-0.00700000000000001,0.011,-0.00999999999999998,-3.40000000000002,-0.00885491028362007,-3.40885491028364,-0.5,0.0146587562489188,-0.00394757843953297,4
"Denver Nuggets vs Utah Jazz","2019-20","Denver Nuggets","Utah Jazz",1,1610612743,1610612762,0.019,-0.3,-0.018,-0.069538241512,0.799999999999997,1.10000000000001,-0.014,0.033,-0.013,-0.30000000000001,0.00682153729071494,-0.2931784627093,1,-0.0200823146124159,-0.0377510833393186,7.33333333333333
"Houston Rockets vs Los Angeles Lakers","2019-20","Houston Rockets","Los Angeles Lakers",0,1610612745,1610612747,-0.121,-2.9,0.005,0.143135016968563,0.799999999999997,3.7,-0.005,-0.034,-0.00899999999999998,-2.90000000000001,-0.011343114241002,-2.91134311424101,0.333333333333333,0.0478151669402198,0.0426101114431285,11.3333333333333
"Houston Rockets vs Oklahoma City Thunder","2019-20","Houston Rockets","Oklahoma City Thunder",1,1610612745,1610612760,0,0.6,0.005,0.148103745691465,2.40000000000001,1.7,0.00700000000000001,0.00800000000000001,0.003,0.7,-0.00336111111111093,0.69663888888889,-0.333333333333333,-0.0387836095498915,-0.0467968593488373,-14.6666666666667
"Indiana Pacers vs Miami Heat","2019-20","Indiana Pacers","Miami Heat",0,1610612754,1610612748,0.013,-0.8,-0.022,-0.102615102104028,-2.40000000000001,-1.8,-0.013,-0.014,-0.017,-0.60000000000001,-0.00186301369862996,-0.60186301369864,-0.5,-0.00583532272227816,0.00454263898077201,-10
"Los Angeles Lakers vs Miami Heat","2019-20","Los Angeles Lakers","Miami Heat",1,1610612747,1610612748,0.129,2.9,-0.014,-0.061847723181269,-0.200000000000003,-3.2,-0.005,0.026,0,3,0.018101485626086,3.01810148562608,1,0.0441575072854008,0.0762266772264891,18
"Los Angeles Lakers vs Portland Trail Blazers","2019-20","Los Angeles Lakers","Portland Trail Blazers",1,1610612747,1610612757,0.259,6.7,0.003,-0.016496704367515,-1.5,-8.2,0.00900000000000001,0.017,0.023,6.7,-0.00160658545869796,6.6983934145413,0.333333333333333,0.0230733668684707,0.0321316234585112,15.3333333333333
"Miami Heat vs Milwaukee Bucks","2019-20","Miami Heat","Milwaukee Bucks",1,1610612748,1610612749,-0.164,-6.7,0.004,-0.00835919127573298,0,6.8,-0.005,0.016,0.00700000000000001,-6.8,0.010712328767123,-6.78928767123287,0.333333333333333,-0.000939691924077612,0.00722164076024345,4.66666666666667
"Milwaukee Bucks vs Orlando Magic","2019-20","Milwaukee Bucks","Orlando Magic",1,1610612749,1610612753,0.315,10.7,0.0389999999999999,0.063894132524959,4,-6.7,0.046,-0.026,0.013,10.7,-0.025246575342466,10.6747534246575,1,0.0987950963652826,0.121748175230003,34
"Atlanta Hawks vs Milwaukee Bucks","2020-21","Atlanta Hawks","Milwaukee Bucks",0,1610612737,1610612749,-0.0700000000000001,-3.6,-0.012,-0.021358967238082,-2.2,1.39999999999999,-0.0269999999999999,0.015,-0.001,-3.6,0.00291666666666701,-3.59708333333333,-0.333333333333333,-0.00649221581747272,-0.0166755323118638,-12
"Atlanta Hawks vs New York Knicks","2020-21","Atlanta Hawks","New York Knicks",1,1610612737,1610612752,0,-0.2,0.0219999999999999,0.034953301504058,4.09999999999999,4.3,0.015,0.02,0,-0.20000000000001,0,-0.2,-1,-0.0743136306559566,-0.0845524472079373,-17.3333333333333
"Atlanta Hawks vs Philadelphia 76ers","2020-21","Atlanta Hawks","Philadelphia 76ers",1,1610612737,1610612755,-0.112,-3.3,0.002,0.035771430982175,1.8,5.09999999999999,-0.002,0.00699999999999995,-0.00999999999999998,-3.3,0.00466666666666699,-3.29533333333333,-0.333333333333333,-0.0619247804691932,-0.086583604080432,-32
"Boston Celtics vs Brooklyn Nets","2020-21","Boston Celtics","Brooklyn Nets",0,1610612738,1610612751,-0.167,-3,-0.036,-0.00442166362293001,-4.2,-1.3,-0.0319999999999999,0.037,0.00699999999999998,-2.9,0.00695833333333301,-2.89304166666667,-1,-0.119065434234745,-0.0941816646650385,-30
